port,service_name,banner_text,os_fingerprint,vuln_score
22,OpenSSH,OpenSSH_8.2p1,Linux 4.x/5.x,3.57
4444,Unknown,,Windows Server 2019,4.39
3306,MariaDB,MySQL 5.7.38,FreeBSD 13,5.24
27017,MongoDB,ismaster,Unknown,8.36
8080,Tomcat,Jetty,FreeBSD 13,6.97
1521,Unknown,Oracle TNS Listener,Unknown,4.5
5900,VNC,RFB 003.008,Windows 10,6.91
143,Unknown,Dovecot IMAP,macOS 12,5.17
512,Unknown,,Windows 10,6.75
5432,PostgreSQL,PostgreSQL 14.2,Unknown,1.96
513,Unknown,,FreeBSD 13,2.82
8888,Unknown,,macOS 12,2.81
69,Unknown,,Windows Server 2019,1.57
1521,Unknown,Oracle TNS Listener,macOS 12,3.82
111,Unknown,,Linux 3.x,5.24
8080,Tomcat,Jetty,Linux 4.x/5.x,3.05
8080,nginx,Apache/2.4.41,Linux 3.x,1.81
5432,PostgreSQL,PostgreSQL 14.2,Cisco IOS,5.99
22,OpenSSH,OpenSSH_7.4p1,Windows 10,4.52
5900,VNC,RFB 003.008,macOS 12,7.63
5900,VNC,RealVNC,macOS 12,5.9
53,Unknown,,Cisco IOS,3.09
445,SMB,Windows SMB,Windows Server 2019,10.0
443,Apache,nginx/1.18.0,Linux 3.x,7.49
5432,PostgreSQL,PostgreSQL 14.2,Linux 3.x,4.23
4444,Unknown,,Linux 3.x,0.0
8443,Unknown,,Windows 10,4.49
1433,Unknown,,Unknown,3.02
23,Telnet,,Linux 3.x,9.2
1433,Unknown,Microsoft SQL Server 2019,Cisco IOS,4.29
111,Unknown,,Linux 3.x,1.3
21,vsftpd,Pure-FTPd,macOS 12,5.84
4444,Unknown,,Windows 10,5.43
139,SMB,Samba,Linux 4.x/5.x,9.15
1433,Unknown,,Unknown,2.15
8080,Apache,nginx/1.18.0,Windows Server 2019,5.36
514,Unknown,,FreeBSD 13,3.77
5432,PostgreSQL,PostgreSQL 14.2,Linux 3.x,3.48
5900,VNC,RealVNC,Windows Server 2019,10.0
111,Unknown,,Linux 4.x/5.x,0.17
445,SMB,Samba,Linux 3.x,8.87
139,SMB,,macOS 12,9.27
139,SMB,,Linux 3.x,9.15
5432,PostgreSQL,PostgreSQL 14.2,macOS 12,3.33
80,LiteSpeed,,Windows 10,6.35
1433,Unknown,Microsoft SQL Server 2019,Unknown,4.33
4444,Unknown,,FreeBSD 13,4.48
8888,Unknown,,Linux 3.x,1.66
21,vsftpd,Pure-FTPd,macOS 12,4.4
4444,Unknown,,Windows Server 2019,3.98
8080,nginx,nginx/1.18.0,macOS 12,3.52
443,LiteSpeed,,Windows 10,5.5
514,Unknown,,Windows 10,2.8
443,Apache,nginx/1.18.0,Cisco IOS,8.63
23,Telnet,,Windows Server 2019,9.29
514,Unknown,,Windows Server 2019,6.63
8888,Unknown,,Cisco IOS,3.82
111,Unknown,,Linux 3.x,4.04
443,nginx,nginx/1.18.0,macOS 12,4.25
25,Exim,Microsoft ESMTP,Cisco IOS,8.38
512,Unknown,,Unknown,1.9
111,Unknown,,Unknown,0.0
110,Unknown,Dovecot ready,Unknown,2.61
80,LiteSpeed,LiteSpeed,Linux 4.x/5.x,6.24
3389,RDP,Microsoft Terminal Services,Unknown,8.4
512,Unknown,,Cisco IOS,2.41
53,Unknown,,Linux 3.x,2.39
3389,RDP,,Windows 10,10.0
111,Unknown,,Linux 3.x,4.22
8080,Tomcat,Tomcat/9.0,Windows 10,3.82
3306,MySQL,MySQL 8.0.28,Windows Server 2019,4.52
8443,Unknown,nginx/1.18.0,macOS 12,2.2
111,Unknown,,macOS 12,1.56
143,Unknown,* OK [CAPABILITY IMAP4rev1],Linux 3.x,3.13
443,nginx,,Cisco IOS,4.47
513,Unknown,,Linux 3.x,1.97
5432,PostgreSQL,PostgreSQL 14.2,Windows 10,4.18
22,OpenSSH,OpenSSH_7.4p1,Unknown,1.92
143,Unknown,* OK [CAPABILITY IMAP4rev1],Linux 3.x,0.0
514,Unknown,,Windows Server 2019,5.49
110,Unknown,+OK POP3 ready,Cisco IOS,4.67
69,Unknown,,Linux 3.x,3.74
53,Unknown,,FreeBSD 13,3.61
23,Telnet,,macOS 12,9.41
5432,PostgreSQL,PostgreSQL 14.2,macOS 12,7.62
1433,Unknown,Microsoft SQL Server 2019,Windows Server 2019,3.39
3306,MariaDB,MariaDB 10.6,macOS 12,9.91
23,Telnet,,Linux 3.x,10.0
8443,Unknown,Apache/2.4.41,Windows Server 2019,3.92
512,Unknown,,macOS 12,2.58
513,Unknown,,Linux 3.x,3.03
80,nginx,LiteSpeed,Cisco IOS,4.78
6379,Redis,Redis server v=7.0.4,Cisco IOS,8.69
22,Dropbear,Dropbear SSH,FreeBSD 13,5.01
8443,Unknown,nginx/1.18.0,Cisco IOS,0.55
110,Unknown,Dovecot ready,FreeBSD 13,8.23
4444,Unknown,,FreeBSD 13,1.44
139,SMB,,Windows Server 2019,6.31
3306,MariaDB,MySQL 8.0.28,Cisco IOS,5.88
25,Postfix,Exim 4.95,Linux 4.x/5.x,3.12
443,nginx,Apache/2.4.41,Windows Server 2019,5.4
21,vsftpd,Pure-FTPd,Windows 10,5.11
22,Dropbear,SSH-2.0-OpenSSH_9.0,Cisco IOS,4.67
8080,Tomcat,nginx/1.18.0,Linux 3.x,9.01
4444,Unknown,,Unknown,0.99
1521,Unknown,Oracle TNS Listener,Linux 4.x/5.x,2.27
8080,Apache,Apache/2.4.41,Unknown,7.86
69,Unknown,,macOS 12,1.69
139,SMB,,Unknown,7.12
8080,Apache,Tomcat/9.0,Windows Server 2019,7.74
873,Unknown,,Windows 10,1.87
2049,Unknown,,macOS 12,1.74
27017,MongoDB,ismaster,FreeBSD 13,7.72
8443,Unknown,nginx/1.18.0,macOS 12,3.01
139,SMB,,Windows Server 2019,10.0
3389,RDP,Microsoft Terminal Services,Unknown,6.63
3306,MySQL,MySQL 5.7.38,FreeBSD 13,9.57
22,Dropbear,OpenSSH_7.4p1,Windows 10,1.88
873,Unknown,,Linux 3.x,2.22
873,Unknown,,FreeBSD 13,1.26
143,Unknown,Dovecot IMAP,Cisco IOS,3.11
53,Unknown,,Windows 10,3.04
143,Unknown,* OK [CAPABILITY IMAP4rev1],Cisco IOS,3.33
6379,Redis,+OK,Windows 10,8.39
21,ProFTPD,FileZilla FTP,Windows Server 2019,10.0
5432,PostgreSQL,PostgreSQL 14.2,Unknown,4.19
443,Apache,LiteSpeed,Linux 4.x/5.x,9.28
443,LiteSpeed,nginx/1.18.0,FreeBSD 13,1.87
513,Unknown,,Cisco IOS,0.0
53,Unknown,,Linux 4.x/5.x,3.25
873,Unknown,,FreeBSD 13,3.65
143,Unknown,Dovecot IMAP,macOS 12,1.93
111,Unknown,,macOS 12,2.98
53,Unknown,,Cisco IOS,5.15
5432,PostgreSQL,PostgreSQL 14.2,Windows Server 2019,4.8
25,Exim,Postfix ESMTP,Cisco IOS,7.51
8080,Tomcat,Tomcat/9.0,Cisco IOS,7.4
21,vsftpd,ProFTPD 1.3.5,Cisco IOS,6.14
443,nginx,,Windows 10,3.29
512,Unknown,,Cisco IOS,1.39
514,Unknown,,macOS 12,4.85
22,OpenSSH,OpenSSH_7.4p1,FreeBSD 13,1.54
8080,nginx,Jetty,FreeBSD 13,3.54
1521,Unknown,Oracle TNS Listener,Windows 10,0.57
1521,Unknown,Oracle TNS Listener,Linux 3.x,4.84
69,Unknown,,Cisco IOS,0.83
8443,Unknown,Apache/2.4.41,Windows Server 2019,4.58
1433,Unknown,,Linux 3.x,2.29
1433,Unknown,,Cisco IOS,6.56
445,SMB,,Windows 10,9.13
3389,RDP,,Linux 4.x/5.x,10.0
111,Unknown,,Linux 3.x,3.92
69,Unknown,,FreeBSD 13,2.1
8080,nginx,Tomcat/9.0,Windows 10,5.48
8443,Unknown,Apache/2.4.41,Linux 3.x,3.02
8443,Unknown,Apache/2.4.41,Windows 10,2.08
21,ProFTPD,vsftpd 3.0.3,Linux 4.x/5.x,9.57
2049,Unknown,,Linux 3.x,8.02
111,Unknown,,Windows 10,3.23
3389,RDP,Microsoft Terminal Services,Windows Server 2019,9.57
445,SMB,Windows SMB,Windows Server 2019,9.53
445,SMB,Samba,Windows Server 2019,6.39
23,Telnet,,Unknown,9.75
111,Unknown,,Linux 3.x,3.88
5900,VNC,RealVNC,Linux 4.x/5.x,5.63
3389,RDP,,FreeBSD 13,5.82
1521,Unknown,Oracle TNS Listener,Windows Server 2019,3.85
443,Apache,nginx/1.18.0,Linux 4.x/5.x,9.79
5432,PostgreSQL,PostgreSQL 14.2,Unknown,3.56
8080,nginx,Tomcat/9.0,macOS 12,4.9
5432,PostgreSQL,PostgreSQL 14.2,Unknown,6.77
514,Unknown,,Linux 3.x,4.79
4444,Unknown,,Linux 3.x,0.57
69,Unknown,,Unknown,1.57
53,Unknown,,Windows 10,7.36
69,Unknown,,Linux 3.x,1.67
512,Unknown,,Windows Server 2019,1.93
443,nginx,LiteSpeed,macOS 12,6.71
512,Unknown,,Linux 4.x/5.x,2.47
2049,Unknown,,Linux 4.x/5.x,3.89
22,Dropbear,SSH-2.0-OpenSSH_9.0,Windows 10,4.43
2049,Unknown,,Unknown,2.71
443,nginx,Apache/2.4.41,Unknown,7.68
53,Unknown,,Cisco IOS,0.45
873,Unknown,,FreeBSD 13,3.23
873,Unknown,,Cisco IOS,1.84
873,Unknown,,Linux 3.x,6.28
143,Unknown,* OK [CAPABILITY IMAP4rev1],macOS 12,2.65
443,Apache,nginx/1.18.0,Windows 10,10.0
514,Unknown,,macOS 12,2.16
21,ProFTPD,Pure-FTPd,Linux 4.x/5.x,8.63
6379,Redis,Redis server v=7.0.4,macOS 12,9.63
5900,VNC,RealVNC,Unknown,6.07
3306,MariaDB,MariaDB 10.6,Linux 3.x,8.26
4444,Unknown,,FreeBSD 13,3.05
22,OpenSSH,SSH-2.0-OpenSSH_9.0,Windows 10,5.82
53,Unknown,,macOS 12,4.09
514,Unknown,,Linux 4.x/5.x,2.85
27017,MongoDB,MongoDB 6.0,FreeBSD 13,6.04
69,Unknown,,Linux 3.x,3.19
139,SMB,,Cisco IOS,6.99
513,Unknown,,Unknown,0.38
2049,Unknown,,Windows 10,2.72
22,Dropbear,SSH-2.0-OpenSSH_9.0,Windows Server 2019,6.32
8888,Unknown,,Cisco IOS,6.03
69,Unknown,,FreeBSD 13,4.96
27017,MongoDB,ismaster,Linux 4.x/5.x,4.73
23,Telnet,,Cisco IOS,9.65
110,Unknown,+OK Dovecot,Windows Server 2019,1.28
25,Exim,Sendmail 8.15,FreeBSD 13,7.9
4444,Unknown,,FreeBSD 13,4.91
27017,MongoDB,ismaster,Windows Server 2019,8.68
8080,Apache,Apache/2.4.41,Windows Server 2019,9.07
27017,MongoDB,MongoDB 6.0,FreeBSD 13,4.96
53,Unknown,,FreeBSD 13,0.95
22,Dropbear,OpenSSH_8.2p1,Unknown,6.26
21,ProFTPD,FileZilla FTP,Cisco IOS,10.0
80,IIS,,Unknown,5.97
5432,PostgreSQL,PostgreSQL 14.2,Cisco IOS,3.97
143,Unknown,* OK [CAPABILITY IMAP4rev1],Unknown,5.35
110,Unknown,Dovecot ready,Windows Server 2019,4.06
3389,RDP,,Linux 4.x/5.x,9.41
3306,MySQL,MariaDB 10.6,Windows 10,3.84
6379,Redis,Redis server v=7.0.4,Windows 10,9.72
2049,Unknown,,FreeBSD 13,2.6
69,Unknown,,Windows Server 2019,0.22
21,ProFTPD,FileZilla FTP,FreeBSD 13,7.56
512,Unknown,,Cisco IOS,1.81
111,Unknown,,Windows 10,5.96
1521,Unknown,Oracle TNS Listener,Linux 4.x/5.x,1.61
111,Unknown,,Windows Server 2019,3.77
21,ProFTPD,ProFTPD 1.3.5,Windows Server 2019,5.97
873,Unknown,,Cisco IOS,4.87
873,Unknown,,Windows 10,1.42
3389,RDP,Microsoft Terminal Services,macOS 12,9.09
3389,RDP,,Linux 3.x,9.09
8080,Tomcat,nginx/1.18.0,Linux 3.x,8.27
21,ProFTPD,ProFTPD 1.3.5,Cisco IOS,8.9
25,Postfix,Sendmail 8.15,Cisco IOS,6.8
1433,Unknown,,Unknown,3.42
5900,VNC,RealVNC,Windows 10,10.0
21,ProFTPD,Pure-FTPd,FreeBSD 13,9.27
23,Telnet,,Unknown,9.64
3389,RDP,,Windows Server 2019,9.84
53,Unknown,,Linux 3.x,3.39
8888,Unknown,,Windows 10,3.9
513,Unknown,,Unknown,3.69
69,Unknown,,Linux 3.x,3.5
3306,MariaDB,MySQL 8.0.28,macOS 12,9.18
25,Postfix,Postfix ESMTP,Linux 3.x,7.23
1433,Unknown,,FreeBSD 13,3.65
445,SMB,Samba,Linux 3.x,10.0
3389,RDP,Microsoft Terminal Services,Linux 3.x,10.0
5432,PostgreSQL,PostgreSQL 14.2,FreeBSD 13,5.31
5900,VNC,RealVNC,Windows 10,8.32
80,IIS,,macOS 12,7.33
111,Unknown,,FreeBSD 13,4.14
80,nginx,Apache/2.4.41,Windows Server 2019,4.21
27017,MongoDB,ismaster,Windows 10,7.38
8080,Apache,Tomcat/9.0,Unknown,4.11
8443,Unknown,Apache/2.4.41,macOS 12,4.15
3389,RDP,,Windows 10,9.15
8080,nginx,Jetty,Cisco IOS,6.76
513,Unknown,,FreeBSD 13,1.45
443,LiteSpeed,LiteSpeed,Unknown,5.95
25,Exim,Microsoft ESMTP,Windows Server 2019,8.71
21,ProFTPD,Pure-FTPd,Linux 3.x,10.0
1521,Unknown,Oracle TNS Listener,Windows Server 2019,4.61
4444,Unknown,,Linux 4.x/5.x,1.8
1521,Unknown,Oracle TNS Listener,Unknown,0.3
21,ProFTPD,FileZilla FTP,Windows 10,8.76
8080,Apache,Apache/2.4.41,Linux 4.x/5.x,4.44
80,Apache,Microsoft-IIS/10.0,FreeBSD 13,5.03
111,Unknown,,Cisco IOS,1.07
25,Postfix,Exim 4.95,Linux 3.x,3.8
143,Unknown,Dovecot IMAP,Unknown,5.91
53,Unknown,,FreeBSD 13,1.07
53,Unknown,,Linux 4.x/5.x,2.15
80,IIS,LiteSpeed,Linux 4.x/5.x,3.14
22,OpenSSH,OpenSSH_8.2p1,Cisco IOS,1.59
8888,Unknown,,Windows 10,2.44
512,Unknown,,FreeBSD 13,3.41
27017,MongoDB,MongoDB 6.0,Cisco IOS,5.43
25,Postfix,Sendmail 8.15,FreeBSD 13,2.68
27017,MongoDB,MongoDB 6.0,macOS 12,4.13
143,Unknown,Dovecot IMAP,FreeBSD 13,3.29
512,Unknown,,Cisco IOS,4.87
6379,Redis,+OK,Cisco IOS,5.86
5900,VNC,RealVNC,FreeBSD 13,6.53
8080,Apache,nginx/1.18.0,Windows 10,8.66
443,Apache,LiteSpeed,Windows 10,6.07
2049,Unknown,,Linux 3.x,2.8
8888,Unknown,,FreeBSD 13,3.76
3306,MariaDB,MariaDB 10.6,Linux 3.x,5.34
2049,Unknown,,Windows 10,1.44
21,ProFTPD,ProFTPD 1.3.5,Windows Server 2019,8.87
513,Unknown,,Cisco IOS,0.24
1433,Unknown,,Unknown,0.0
443,nginx,nginx/1.18.0,macOS 12,4.25
443,nginx,LiteSpeed,Linux 4.x/5.x,6.78
513,Unknown,,Cisco IOS,5.32
6379,Redis,Redis server v=7.0.4,Linux 4.x/5.x,7.29
27017,MongoDB,ismaster,Linux 4.x/5.x,8.99
513,Unknown,,Windows 10,5.76
873,Unknown,,Linux 3.x,3.08
69,Unknown,,macOS 12,4.27
25,Exim,Postfix ESMTP,Linux 4.x/5.x,10.0
8443,Unknown,nginx/1.18.0,Linux 3.x,1.59
139,SMB,,Linux 3.x,8.76
5900,VNC,RealVNC,FreeBSD 13,9.9
4444,Unknown,,Linux 3.x,1.12
8888,Unknown,,Linux 4.x/5.x,3.31
443,nginx,nginx/1.18.0,Cisco IOS,4.37
8443,Unknown,nginx/1.18.0,Windows 10,5.73
513,Unknown,,FreeBSD 13,0.63
139,SMB,Samba,FreeBSD 13,8.93
514,Unknown,,FreeBSD 13,0.91
4444,Unknown,,FreeBSD 13,0.07
23,Telnet,,Linux 3.x,8.55
445,SMB,,Unknown,8.84
22,OpenSSH,SSH-2.0-OpenSSH_9.0,macOS 12,5.97
25,Exim,Microsoft ESMTP,Linux 3.x,8.03
23,Telnet,,macOS 12,9.62
1433,Unknown,,Windows Server 2019,2.13
5432,PostgreSQL,PostgreSQL 14.2,Cisco IOS,5.18
21,ProFTPD,FileZilla FTP,FreeBSD 13,9.37
1433,Unknown,Microsoft SQL Server 2019,Windows 10,3.25
873,Unknown,,Windows 10,3.41
25,Exim,Exim 4.95,macOS 12,7.3
23,Telnet,,Linux 4.x/5.x,10.0
53,Unknown,,macOS 12,4.62
25,Exim,Postfix ESMTP,Linux 3.x,7.85
80,Apache,Microsoft-IIS/10.0,Linux 3.x,6.15
512,Unknown,,Linux 3.x,2.22
1521,Unknown,Oracle TNS Listener,Unknown,2.4
110,Unknown,Dovecot ready,Unknown,3.49
512,Unknown,,Unknown,0.0
143,Unknown,Dovecot IMAP,Linux 4.x/5.x,2.5
3389,RDP,,FreeBSD 13,8.3
5900,VNC,RFB 003.008,Linux 3.x,7.49
80,LiteSpeed,LiteSpeed,Windows 10,4.76
514,Unknown,,Linux 3.x,3.06
23,Telnet,,FreeBSD 13,9.7
2049,Unknown,,Unknown,2.73
23,Telnet,,Windows 10,9.99
512,Unknown,,Windows 10,4.32
514,Unknown,,FreeBSD 13,7.49
139,SMB,,Linux 4.x/5.x,9.7
3389,RDP,Microsoft Terminal Services,Cisco IOS,7.38
23,Telnet,,Linux 3.x,9.42
21,vsftpd,ProFTPD 1.3.5,macOS 12,4.24
873,Unknown,,FreeBSD 13,3.02
513,Unknown,,Linux 3.x,5.2
111,Unknown,,Windows Server 2019,2.35
110,Unknown,+OK Dovecot,Linux 4.x/5.x,1.86
21,ProFTPD,ProFTPD 1.3.5,Cisco IOS,9.12
53,Unknown,,FreeBSD 13,1.37
111,Unknown,,FreeBSD 13,1.25
8443,Unknown,nginx/1.18.0,Unknown,3.76
69,Unknown,,FreeBSD 13,0.0
80,IIS,LiteSpeed,macOS 12,5.03
6379,Redis,+OK,Linux 3.x,9.28
110,Unknown,+OK Dovecot,Unknown,0.0
443,LiteSpeed,,Linux 3.x,1.86
1433,Unknown,,Unknown,0.13
1521,Unknown,Oracle TNS Listener,macOS 12,0.0
443,Apache,nginx/1.18.0,macOS 12,10.0
3389,RDP,,Windows Server 2019,8.68
512,Unknown,,Windows 10,1.66
22,OpenSSH,SSH-2.0-OpenSSH_9.0,Linux 4.x/5.x,2.42
5432,PostgreSQL,PostgreSQL 14.2,Linux 4.x/5.x,6.64
80,LiteSpeed,nginx/1.18.0,Linux 3.x,5.48
110,Unknown,+OK Dovecot,Linux 3.x,2.74
1521,Unknown,Oracle TNS Listener,Windows 10,5.44
8888,Unknown,,Linux 3.x,3.78
6379,Redis,Redis server v=7.0.4,Linux 3.x,7.25
2049,Unknown,,Cisco IOS,1.79
111,Unknown,,Linux 4.x/5.x,1.82
2049,Unknown,,Linux 4.x/5.x,0.97
873,Unknown,,Windows Server 2019,5.22
514,Unknown,,Linux 4.x/5.x,1.96
2049,Unknown,,Cisco IOS,5.71
69,Unknown,,Windows 10,1.34
512,Unknown,,Linux 4.x/5.x,1.8
5432,PostgreSQL,PostgreSQL 14.2,Windows Server 2019,3.46
6379,Redis,+OK,Cisco IOS,6.65
111,Unknown,,Linux 3.x,1.83
5900,VNC,RealVNC,macOS 12,8.33
143,Unknown,* OK [CAPABILITY IMAP4rev1],Linux 4.x/5.x,5.4
110,Unknown,+OK Dovecot,macOS 12,3.6
23,Telnet,,Linux 3.x,8.9
873,Unknown,,Unknown,1.8
8888,Unknown,,macOS 12,1.84
80,Apache,Microsoft-IIS/10.0,FreeBSD 13,9.9
3306,MariaDB,MariaDB 10.6,Windows 10,7.48
21,ProFTPD,vsftpd 3.0.3,Windows Server 2019,9.96
3306,MySQL,MariaDB 10.6,Windows Server 2019,4.22
445,SMB,Samba,Cisco IOS,7.73
143,Unknown,* OK [CAPABILITY IMAP4rev1],Windows Server 2019,4.15
5900,VNC,RealVNC,Unknown,6.81
25,Postfix,Microsoft ESMTP,Windows 10,4.85
23,Telnet,,FreeBSD 13,9.71
873,Unknown,,Unknown,2.21
69,Unknown,,Windows 10,5.01
111,Unknown,,Windows 10,0.08
111,Unknown,,Linux 4.x/5.x,3.22
512,Unknown,,Windows Server 2019,4.36
21,vsftpd,ProFTPD 1.3.5,Cisco IOS,7.55
445,SMB,Samba,FreeBSD 13,9.13
22,Dropbear,OpenSSH_7.4p1,Linux 3.x,5.89
4444,Unknown,,macOS 12,5.38
1521,Unknown,Oracle TNS Listener,Windows 10,7.67
23,Telnet,,macOS 12,9.66
139,SMB,,Unknown,10.0
