port,port_state,protocol,rtt_ms,ttl,os_fingerprint,banner_text,icmp_blocked,rst_received,filtered_port_count,open_port_count,total_ports_scanned,firewall_present,firewall_type,best_bypass_flag
512,filtered,tcp,97.68,45,FreeBSD 13,,0,0,569,12,813,1,pf_bsd,ack_scan
53,filtered,tcp,193.14,41,Linux 4.x/5.x,,1,0,331,2,397,1,cloudflare,fragment
110,filtered,tcp,68.95,43,FreeBSD 13,,0,0,432,14,712,1,iptables,null_scan
8080,filtered,tcp,51.66,47,Linux 4.x/5.x,,1,0,343,3,491,1,cloudflare,fragment
5900,open,tcp,337.39,251,Unknown,RFB 003.008,1,0,51,0,71,1,cisco_acl,http_source_port
8080,closed,tcp,16.8,46,Unknown,,1,0,81,1,106,1,aws_waf,slow_scan
8443,filtered,tcp,21.65,41,Linux 4.x/5.x,,1,0,346,5,520,1,aws_waf,decoy_scan
143,filtered,tcp,187.24,54,FreeBSD 13,,1,0,460,17,877,1,iptables,fin_scan
8443,filtered,tcp,108.01,41,Unknown,,1,0,250,2,350,1,cloudflare,dns_source_port
3306,filtered,tcp,53.7,56,macOS 12,,1,0,614,4,845,1,ids_ips,slow_scan
80,filtered,tcp,68.65,39,Linux 4.x/5.x,,0,0,223,1,264,1,cloudflare,stealth_syn
1521,filtered,tcp,176.51,46,Unknown,,1,0,71,1,115,1,pf_bsd,null_scan
3306,open,tcp,70.83,53,Windows 10,MySQL 5.7.38,1,0,784,4,950,1,ids_ips,slow_scan
1433,open,tcp,19.71,60,Unknown,,0,0,0,9,186,0,none,connect_scan
445,filtered,tcp,44.41,43,macOS 12,,0,0,485,2,551,1,ids_ips,slow_scan
873,filtered,tcp,110.03,52,Linux 3.x,,0,0,305,12,602,1,iptables,null_scan
27017,filtered,tcp,58.9,42,Unknown,,1,0,717,9,919,1,aws_waf,decoy_scan
3306,filtered,tcp,48.8,47,Unknown,,1,0,105,0,116,1,cloudflare,dns_source_port
5432,open,tcp,127.77,55,Cisco IOS,PostgreSQL 14.2,1,0,220,8,425,1,iptables,fin_scan
8080,filtered,tcp,12.25,240,Cisco IOS,,0,0,598,9,730,1,cisco_acl,dns_source_port
27017,open,tcp,101.1,58,Windows 10,ismaster,0,0,0,25,513,0,none,connect_scan
8443,open,tcp,224.15,48,Windows Server 2019,Apache/2.4.41,0,0,160,3,221,1,pf_bsd,ack_scan
5432,open,tcp,23.31,46,Windows 10,PostgreSQL 14.2,0,0,131,3,217,1,pf_bsd,null_scan
5432,filtered,tcp,9.74,57,macOS 12,,0,0,127,4,202,1,iptables,null_scan
8443,filtered,tcp,27.11,55,Unknown,,1,0,205,1,245,1,cloudflare,fragment
1521,filtered,tcp,68.16,54,Linux 4.x/5.x,,0,0,749,4,934,1,ids_ips,combo_advanced
5432,open,tcp,39.5,61,Linux 4.x/5.x,PostgreSQL 14.2,0,0,0,41,838,0,none,connect_scan
22,open,tcp,17.57,51,Linux 4.x/5.x,SSH-2.0-OpenSSH_9.0,1,0,361,4,439,1,aws_waf,fragment
8080,filtered,tcp,225.61,248,Cisco IOS,,1,0,617,9,796,1,cisco_acl,https_source_port
143,filtered,tcp,54.02,41,FreeBSD 13,,1,0,219,5,382,1,pf_bsd,ack_scan
3306,filtered,tcp,28.35,250,Cisco IOS,,1,0,485,8,673,1,cisco_acl,dns_source_port
5900,filtered,tcp,57.44,58,Unknown,,0,0,702,8,822,1,aws_waf,slow_scan
25,filtered,tcp,20.0,46,Linux 3.x,,1,0,402,2,456,1,ids_ips,combo_advanced
1433,open,tcp,195.57,51,macOS 12,,0,0,0,12,252,0,none,connect_scan
8443,filtered,tcp,49.06,45,Linux 4.x/5.x,,0,0,149,1,207,1,ids_ips,decoy_scan
27017,filtered,tcp,19.07,32,Linux 5.x,,1,0,78,1,118,1,aws_waf,decoy_scan
3389,filtered,tcp,111.21,243,Cisco IOS,,1,0,130,2,186,1,cisco_acl,http_source_port
1521,filtered,tcp,104.21,57,Windows 10,,0,0,439,9,616,1,pf_bsd,null_scan
22,open,tcp,5.99,62,macOS 12,SSH-2.0-OpenSSH_9.0,0,0,0,8,161,0,none,connect_scan
5900,filtered,tcp,116.08,242,Unknown,,1,0,339,6,483,1,cisco_acl,dns_source_port
1521,filtered,tcp,15.68,43,Windows Server 2019,,1,0,613,3,775,1,ids_ips,combo_advanced
27017,open,tcp,4.66,65,FreeBSD 13,ismaster,0,0,0,17,345,0,none,connect_scan
27017,open,tcp,24.86,54,Windows Server 2019,ismaster,0,0,101,3,159,1,iptables,null_scan
21,filtered,tcp,13.36,53,Unknown,,1,0,202,1,233,1,cloudflare,fragment
1521,filtered,tcp,23.3,247,Cisco IOS,,1,0,679,11,959,1,cisco_acl,http_source_port
143,open,tcp,47.9,61,Linux 3.x,Dovecot IMAP,0,0,245,1,264,1,ids_ips,slow_scan
139,open,tcp,31.4,51,Linux 3.x,,1,0,416,10,724,1,pf_bsd,null_scan
27017,filtered,tcp,142.99,44,Unknown,,1,0,302,2,363,1,cloudflare,dns_source_port
8443,filtered,tcp,12.62,46,Linux 4.x/5.x,,1,0,418,5,588,1,aws_waf,slow_scan
443,open,tcp,83.92,46,Unknown,nginx/1.18.0,1,0,325,3,391,1,aws_waf,slow_scan
69,filtered,tcp,287.83,250,Cisco IOS,,1,0,211,3,263,1,cisco_acl,http_source_port
3306,filtered,tcp,34.03,38,Linux 4.x/5.x,,0,0,291,3,385,1,aws_waf,decoy_scan
5900,filtered,tcp,19.82,42,Unknown,,1,0,390,4,486,1,aws_waf,slow_scan
8443,filtered,tcp,42.58,58,Windows 10,,1,0,610,3,643,1,ids_ips,slow_scan
110,closed,tcp,32.43,62,FreeBSD 13,,1,0,473,18,902,1,iptables,null_scan
53,filtered,tcp,259.67,240,Unknown,,1,0,248,4,391,1,cisco_acl,https_source_port
6379,open,tcp,34.88,55,Cisco IOS,Redis server v=7.0.4,0,0,566,17,874,1,iptables,fin_scan
27017,filtered,tcp,340.68,249,Cisco IOS,,1,0,554,9,794,1,cisco_acl,http_source_port
5432,filtered,tcp,37.84,55,Windows 10,,0,0,666,4,924,1,ids_ips,combo_advanced
25,filtered,tcp,48.37,61,FreeBSD 13,,0,0,222,4,328,1,pf_bsd,null_scan
27017,open,tcp,68.85,64,Cisco IOS,ismaster,0,0,0,28,561,0,none,connect_scan
1433,open,tcp,31.49,60,Linux 3.x,Microsoft SQL Server 2019,0,0,0,11,228,0,none,connect_scan
111,closed,tcp,31.16,40,Unknown,,1,0,192,1,236,1,cloudflare,dns_source_port
110,filtered,tcp,3.96,58,Linux 3.x,,0,0,573,3,629,1,ids_ips,combo_advanced
3306,filtered,tcp,32.1,58,Windows 10,,0,0,146,5,271,1,iptables,fin_scan
80,filtered,tcp,143.75,54,Linux 4.x/5.x,,1,0,561,8,829,1,aws_waf,decoy_scan
139,filtered,tcp,149.52,57,Linux 5.x,,0,0,189,2,291,1,aws_waf,fragment
139,filtered,tcp,11.16,46,macOS 12,,0,0,163,0,168,1,ids_ips,slow_scan
5432,filtered,tcp,68.58,43,Unknown,,0,0,153,2,215,1,aws_waf,decoy_scan
25,open,tcp,107.64,60,Unknown,Exim 4.95,0,0,0,35,710,0,none,connect_scan
8080,filtered,tcp,67.92,238,Cisco IOS,,1,0,232,4,342,1,cisco_acl,https_source_port
139,filtered,tcp,8.33,52,Linux 4.x/5.x,,1,0,31,1,64,1,iptables,null_scan
443,open,tcp,86.51,56,Windows Server 2019,,0,0,0,36,738,0,none,connect_scan
5900,open,tcp,90.61,47,Unknown,RealVNC,1,0,392,3,445,1,cloudflare,fragment
25,open,tcp,50.83,47,Unknown,Sendmail 8.15,0,0,0,22,449,0,none,connect_scan
5432,open,tcp,52.55,53,Cisco IOS,PostgreSQL 14.2,0,0,314,11,556,1,iptables,null_scan
143,open,tcp,175.62,248,Unknown,Dovecot IMAP,0,0,92,1,131,1,cisco_acl,http_source_port
22,filtered,tcp,148.9,237,Unknown,,1,0,116,2,191,1,cisco_acl,https_source_port
23,filtered,tcp,22.68,250,Unknown,,1,0,42,0,55,1,cisco_acl,http_source_port
27017,filtered,tcp,44.62,47,Linux 5.x,,1,0,546,5,681,1,cloudflare,fragment
1433,filtered,tcp,40.56,246,Unknown,,1,0,290,5,454,1,cisco_acl,https_source_port
1433,filtered,tcp,136.63,42,Unknown,,0,0,133,1,179,1,aws_waf,slow_scan
443,filtered,tcp,76.71,42,Unknown,,1,0,292,3,340,1,aws_waf,slow_scan
6379,filtered,tcp,69.58,54,Linux 4.x/5.x,,1,0,485,11,744,1,pf_bsd,null_scan
80,filtered,tcp,181.15,236,Cisco IOS,,1,0,564,10,814,1,cisco_acl,dns_source_port
3389,filtered,tcp,28.55,50,macOS 12,,1,0,210,1,216,1,ids_ips,slow_scan
5900,filtered,tcp,17.21,48,Linux 4.x/5.x,,1,0,169,2,262,1,aws_waf,fragment
1521,filtered,tcp,51.68,42,Linux 4.x/5.x,,1,0,492,6,694,1,aws_waf,decoy_scan
110,open,tcp,45.34,62,macOS 12,Dovecot ready,0,0,0,3,68,0,none,connect_scan
8443,filtered,tcp,40.62,39,Unknown,,1,0,396,5,567,1,aws_waf,slow_scan
5432,filtered,tcp,12.75,37,Linux 5.x,,0,0,357,5,502,1,aws_waf,fragment
110,filtered,tcp,223.87,243,Unknown,,1,0,233,4,329,1,cisco_acl,dns_source_port
443,filtered,tcp,32.16,58,Windows Server 2019,,1,0,598,3,643,1,ids_ips,slow_scan
443,filtered,tcp,11.44,40,Windows 10,,1,0,593,3,637,1,ids_ips,decoy_scan
143,filtered,tcp,57.02,46,Linux 4.x/5.x,,1,0,361,14,709,1,iptables,fin_scan
8080,closed,tcp,7.44,61,Windows 10,,0,0,0,17,348,0,none,connect_scan
27017,closed,tcp,164.41,54,Windows 10,,1,0,80,3,154,1,iptables,fin_scan
5900,filtered,tcp,90.72,51,Linux 4.x/5.x,,1,0,118,1,151,1,cloudflare,fragment
3306,filtered,tcp,20.24,43,Linux 4.x/5.x,,1,0,145,1,209,1,cloudflare,stealth_syn
443,filtered,tcp,59.11,49,Cisco IOS,,1,0,178,5,293,1,iptables,fin_scan
25,closed,tcp,38.78,67,macOS 12,,0,0,0,47,945,0,none,connect_scan
443,filtered,tcp,19.21,60,Unknown,,1,0,200,2,254,1,aws_waf,fragment
1433,open,tcp,110.6,57,FreeBSD 13,,1,0,373,9,615,1,pf_bsd,null_scan
3389,filtered,tcp,15.34,62,FreeBSD 13,,1,0,352,8,576,1,pf_bsd,null_scan
139,filtered,tcp,22.94,58,Linux 3.x,,0,0,501,2,589,1,ids_ips,slow_scan
443,filtered,tcp,80.38,43,Windows 10,,1,0,111,0,119,1,ids_ips,combo_advanced
80,open,tcp,170.21,46,Windows 10,Microsoft-IIS/10.0,0,0,533,17,851,1,iptables,null_scan
3306,open,tcp,73.77,53,Linux 4.x/5.x,MySQL 8.0.28,0,0,0,12,251,0,none,connect_scan
514,open,tcp,56.17,63,Linux 4.x/5.x,,0,0,0,6,133,0,none,connect_scan
445,filtered,tcp,47.66,253,Unknown,,1,0,55,0,69,1,cisco_acl,http_source_port
5900,filtered,tcp,29.91,51,Unknown,,0,0,374,8,581,1,pf_bsd,null_scan
53,open,tcp,89.58,51,Cisco IOS,,0,0,0,26,521,0,none,connect_scan
53,open,tcp,37.65,49,Windows Server 2019,,0,0,0,28,565,0,none,connect_scan
110,filtered,tcp,71.84,54,macOS 12,,1,0,106,2,177,1,pf_bsd,null_scan
6379,filtered,tcp,55.28,43,Linux 4.x/5.x,,1,0,768,9,959,1,aws_waf,decoy_scan
5900,open,tcp,100.57,48,Unknown,RealVNC,0,0,58,2,122,1,iptables,null_scan
1521,filtered,tcp,69.72,246,Unknown,,1,0,151,2,203,1,cisco_acl,http_source_port
1521,open,tcp,19.41,53,Linux 3.x,Oracle TNS Listener,0,0,0,29,599,0,none,connect_scan
27017,filtered,tcp,115.78,251,Cisco IOS,,1,0,259,4,325,1,cisco_acl,http_source_port
8443,filtered,tcp,47.59,42,Linux 4.x/5.x,,1,0,356,5,501,1,aws_waf,slow_scan
25,filtered,tcp,151.55,43,Windows 10,,1,0,440,16,835,1,iptables,null_scan
53,filtered,tcp,137.38,52,Linux 4.x/5.x,,0,0,613,13,872,1,pf_bsd,ack_scan
143,filtered,tcp,17.8,62,Cisco IOS,,1,0,678,4,904,1,ids_ips,slow_scan
110,open,tcp,6.55,65,Windows Server 2019,Dovecot ready,0,0,0,12,251,0,none,connect_scan
8443,open,tcp,118.92,53,Linux 5.x,nginx/1.18.0,1,0,204,2,291,1,aws_waf,slow_scan
3389,closed,tcp,71.43,247,Cisco IOS,,1,0,653,11,881,1,cisco_acl,http_source_port
3389,filtered,tcp,50.02,49,Unknown,,1,0,761,6,878,1,cloudflare,dns_source_port
8888,filtered,tcp,265.17,252,Cisco IOS,,1,0,604,11,939,1,cisco_acl,dns_source_port
1433,filtered,tcp,15.51,42,Unknown,,1,0,82,1,117,1,pf_bsd,null_scan
5900,filtered,tcp,34.23,52,Windows 10,,0,0,80,0,100,1,ids_ips,slow_scan
27017,filtered,tcp,38.92,52,macOS 12,,0,0,219,5,354,1,pf_bsd,ack_scan
143,filtered,tcp,11.3,49,Cisco IOS,,1,0,148,0,199,1,ids_ips,combo_advanced
21,filtered,tcp,237.12,250,Unknown,,1,0,391,7,572,1,cisco_acl,http_source_port
27017,filtered,tcp,122.57,243,Unknown,,1,0,431,7,570,1,cisco_acl,http_source_port
5432,filtered,tcp,94.9,41,Unknown,,1,0,489,5,577,1,aws_waf,slow_scan
53,filtered,tcp,133.55,44,Linux 3.x,,1,0,378,9,602,1,pf_bsd,ack_scan
53,open,tcp,70.18,45,Linux 3.x,,0,0,0,35,716,0,none,connect_scan
1433,filtered,tcp,7.93,57,Windows 10,,1,0,121,0,167,1,ids_ips,combo_advanced
1433,open,tcp,21.55,51,Linux 4.x/5.x,Microsoft SQL Server 2019,0,0,0,3,78,0,none,connect_scan
5900,open,tcp,23.34,62,Unknown,RealVNC,0,0,0,18,362,0,none,connect_scan
3306,filtered,tcp,128.81,246,Unknown,,1,0,460,9,723,1,cisco_acl,http_source_port
1521,filtered,tcp,32.03,51,Cisco IOS,,0,0,133,0,176,1,ids_ips,combo_advanced
6379,filtered,tcp,131.35,59,Linux 4.x/5.x,,1,0,524,4,566,1,cloudflare,stealth_syn
53,open,tcp,53.57,49,Unknown,,1,0,143,3,205,1,pf_bsd,null_scan
6379,filtered,tcp,43.99,47,Windows Server 2019,,0,0,324,13,669,1,iptables,fin_scan
3306,closed,tcp,10.05,57,Unknown,,0,0,0,27,550,0,none,connect_scan
143,filtered,tcp,132.56,249,Unknown,,1,0,357,5,469,1,cisco_acl,https_source_port
110,filtered,tcp,89.25,55,Unknown,,1,0,599,4,647,1,cloudflare,fragment
22,open,tcp,23.88,57,Cisco IOS,SSH-2.0-OpenSSH_9.0,0,0,0,40,813,0,none,connect_scan
443,filtered,tcp,38.92,58,Unknown,,1,0,198,6,317,1,iptables,xmas_scan
3389,filtered,tcp,37.57,50,FreeBSD 13,,1,0,74,1,113,1,pf_bsd,ack_scan
443,closed,tcp,28.77,54,Linux 3.x,,1,0,971,4,993,1,ids_ips,decoy_scan
1521,open,tcp,226.02,47,Unknown,Oracle TNS Listener,0,0,301,11,591,1,iptables,xmas_scan
8080,filtered,tcp,141.1,55,Unknown,,1,0,245,1,263,1,cloudflare,fragment
110,filtered,tcp,50.03,59,Linux 5.x,,1,0,767,9,999,1,aws_waf,decoy_scan
8080,filtered,tcp,40.53,45,macOS 12,,0,0,926,4,998,1,ids_ips,decoy_scan
3306,filtered,tcp,80.1,41,Linux 4.x/5.x,,1,0,285,7,489,1,pf_bsd,null_scan
6379,open,tcp,83.98,47,Windows Server 2019,+OK,0,0,124,4,235,1,iptables,null_scan
110,filtered,tcp,44.66,54,Linux 3.x,,1,0,681,3,795,1,ids_ips,decoy_scan
8443,open,tcp,4.58,53,Unknown,Apache/2.4.41,0,0,0,8,167,0,none,connect_scan
25,filtered,tcp,8.98,48,Unknown,,1,0,772,3,792,1,ids_ips,combo_advanced
23,filtered,tcp,96.94,57,FreeBSD 13,,0,0,494,19,992,1,iptables,fin_scan
25,filtered,tcp,92.36,39,Linux 5.x,,1,0,432,5,549,1,aws_waf,slow_scan
8888,filtered,tcp,54.3,240,Cisco IOS,,0,0,394,6,505,1,cisco_acl,dns_source_port
8080,filtered,tcp,114.5,54,Linux 5.x,,1,0,683,6,880,1,cloudflare,fragment
22,filtered,tcp,98.06,41,Unknown,,1,0,601,8,840,1,aws_waf,decoy_scan
80,open,tcp,29.81,61,FreeBSD 13,nginx/1.18.0,0,0,0,34,682,0,none,connect_scan
21,filtered,tcp,78.0,42,Windows Server 2019,,1,0,131,2,175,1,pf_bsd,ack_scan
22,filtered,tcp,113.12,56,Linux 5.x,,1,0,351,4,430,1,aws_waf,decoy_scan
110,filtered,tcp,7.96,53,Windows Server 2019,,1,0,337,1,359,1,ids_ips,slow_scan
27017,filtered,tcp,38.09,51,Linux 4.x/5.x,,1,0,508,6,626,1,aws_waf,decoy_scan
5432,filtered,tcp,59.23,52,Linux 4.x/5.x,,1,0,644,5,779,1,cloudflare,dns_source_port
27017,filtered,tcp,188.39,42,Unknown,,1,0,470,9,618,1,pf_bsd,null_scan
5432,filtered,tcp,139.02,47,Cisco IOS,,0,0,39,0,59,1,pf_bsd,null_scan
443,open,tcp,74.75,250,Cisco IOS,LiteSpeed,1,0,51,0,73,1,cisco_acl,http_source_port
6379,open,tcp,12.65,55,Linux 4.x/5.x,+OK,1,0,58,0,71,1,aws_waf,decoy_scan
22,closed,tcp,147.03,240,Unknown,,1,0,371,6,550,1,cisco_acl,dns_source_port
27017,filtered,tcp,135.94,50,Unknown,,1,0,469,4,557,1,cloudflare,stealth_syn
139,closed,tcp,56.63,53,Linux 4.x/5.x,,1,0,118,1,139,1,aws_waf,slow_scan
1433,open,tcp,34.11,244,Cisco IOS,,0,0,542,10,808,1,cisco_acl,https_source_port
21,filtered,tcp,109.67,48,Linux 5.x,,1,0,317,3,398,1,aws_waf,decoy_scan
445,filtered,tcp,339.58,244,Unknown,,1,0,525,10,842,1,cisco_acl,https_source_port
445,filtered,tcp,117.69,61,FreeBSD 13,,1,0,665,3,759,1,ids_ips,slow_scan
3389,filtered,tcp,112.77,246,Cisco IOS,,1,0,564,10,875,1,cisco_acl,dns_source_port
27017,filtered,tcp,137.32,49,Unknown,,1,0,491,4,622,1,cloudflare,fragment
8080,open,tcp,15.93,53,Linux 4.x/5.x,nginx/1.18.0,0,0,429,5,598,1,aws_waf,fragment
53,open,tcp,58.93,56,Windows 10,,0,0,0,5,108,0,none,connect_scan
143,open,tcp,26.21,51,Windows 10,Dovecot IMAP,0,0,0,5,110,0,none,connect_scan
1433,filtered,tcp,26.82,54,macOS 12,,1,0,106,0,127,1,ids_ips,decoy_scan
139,filtered,tcp,211.87,49,Cisco IOS,,0,0,152,3,226,1,pf_bsd,ack_scan
443,filtered,tcp,26.83,51,Linux 5.x,,1,0,442,4,592,1,cloudflare,fragment
6379,filtered,tcp,63.14,42,Linux 4.x/5.x,,0,0,605,9,912,1,aws_waf,slow_scan
143,filtered,tcp,75.96,58,Linux 4.x/5.x,,1,0,616,6,834,1,cloudflare,fragment
8080,open,tcp,159.68,254,Unknown,Apache/2.4.41,1,0,160,3,242,1,cisco_acl,http_source_port
143,filtered,tcp,89.38,44,FreeBSD 13,,0,0,258,10,500,1,iptables,null_scan
8443,filtered,tcp,61.05,53,Linux 4.x/5.x,,1,0,422,4,614,1,cloudflare,dns_source_port
27017,open,tcp,107.36,60,Unknown,MongoDB 6.0,0,0,0,37,749,0,none,connect_scan
139,filtered,tcp,69.37,50,Linux 4.x/5.x,,1,0,297,3,348,1,aws_waf,slow_scan
21,filtered,tcp,13.72,45,Unknown,,1,0,142,1,175,1,aws_waf,slow_scan
1433,filtered,tcp,16.7,63,Windows 10,,1,0,326,1,370,1,ids_ips,slow_scan
25,open,tcp,133.29,50,Unknown,Sendmail 8.15,1,0,219,3,315,1,aws_waf,decoy_scan
6379,open,tcp,103.54,48,Linux 3.x,Redis server v=7.0.4,1,0,120,4,233,1,iptables,xmas_scan
512,open,tcp,12.51,53,macOS 12,,0,0,0,11,236,0,none,connect_scan
3306,filtered,tcp,106.43,57,Unknown,,0,0,294,3,360,1,aws_waf,decoy_scan
5432,filtered,tcp,166.46,45,Windows Server 2019,,0,0,765,4,890,1,ids_ips,decoy_scan
25,closed,tcp,128.78,250,Unknown,,1,0,362,6,490,1,cisco_acl,https_source_port
1521,open,tcp,94.38,55,Cisco IOS,Oracle TNS Listener,1,0,501,12,861,1,pf_bsd,null_scan
5900,filtered,tcp,198.27,54,macOS 12,,1,0,397,13,662,1,iptables,xmas_scan
445,filtered,tcp,29.02,36,Linux 5.x,,1,0,552,8,821,1,aws_waf,fragment
110,filtered,tcp,66.69,42,Unknown,,1,0,837,7,948,1,cloudflare,dns_source_port
3306,closed,tcp,69.35,58,Linux 4.x/5.x,,0,0,426,10,724,1,pf_bsd,ack_scan
445,filtered,tcp,70.68,43,FreeBSD 13,,1,0,550,11,737,1,pf_bsd,null_scan
8888,closed,tcp,51.95,62,Unknown,,0,0,0,45,906,0,none,connect_scan
110,filtered,tcp,22.74,243,Cisco IOS,,0,0,166,2,219,1,cisco_acl,https_source_port
5900,open,tcp,103.44,41,Linux 4.x/5.x,RFB 003.008,0,0,117,4,218,1,iptables,null_scan
5900,open,tcp,54.03,240,Unknown,RFB 003.008,1,0,422,8,652,1,cisco_acl,http_source_port
3306,filtered,tcp,27.19,51,macOS 12,,1,0,569,3,736,1,ids_ips,combo_advanced
1521,filtered,tcp,151.6,38,Unknown,,1,0,143,1,188,1,cloudflare,fragment
5432,filtered,tcp,21.94,44,Windows 10,,0,0,693,3,712,1,ids_ips,combo_advanced
53,filtered,tcp,54.97,50,macOS 12,,1,0,736,4,890,1,ids_ips,combo_advanced
25,open,tcp,39.16,50,macOS 12,Microsoft ESMTP,1,0,380,9,622,1,pf_bsd,ack_scan
3306,filtered,tcp,93.79,52,Unknown,,1,0,598,5,759,1,cloudflare,dns_source_port
27017,open,tcp,115.26,57,Linux 3.x,ismaster,0,0,0,19,398,0,none,connect_scan
22,filtered,tcp,141.21,51,Windows 10,,1,0,431,9,635,1,pf_bsd,ack_scan
21,open,tcp,46.76,53,Unknown,FileZilla FTP,1,0,210,2,252,1,aws_waf,decoy_scan
5432,filtered,tcp,61.12,56,Windows Server 2019,,0,0,525,17,887,1,iptables,xmas_scan
27017,open,tcp,55.26,43,Linux 4.x/5.x,MongoDB 6.0,1,0,407,5,590,1,aws_waf,slow_scan
25,open,tcp,222.72,243,Cisco IOS,Sendmail 8.15,1,0,178,2,235,1,cisco_acl,http_source_port
22,filtered,tcp,85.12,240,Cisco IOS,,1,0,530,10,807,1,cisco_acl,https_source_port
22,open,tcp,79.83,46,Linux 3.x,OpenSSH_8.2p1,0,0,0,7,155,0,none,connect_scan
27017,open,tcp,17.22,62,FreeBSD 13,MongoDB 6.0,0,0,0,37,748,0,none,connect_scan
25,filtered,tcp,62.18,45,Unknown,,1,0,473,14,717,1,iptables,xmas_scan
1433,open,tcp,32.72,59,Windows Server 2019,,0,0,0,6,121,0,none,connect_scan
80,filtered,tcp,134.52,57,Unknown,,0,0,454,18,901,1,iptables,null_scan
8443,closed,tcp,45.36,60,Windows Server 2019,,0,0,0,47,946,0,none,connect_scan
53,filtered,tcp,174.13,39,Linux 4.x/5.x,,1,0,617,6,843,1,cloudflare,fragment
6379,open,tcp,44.91,57,Windows Server 2019,Redis server v=7.0.4,0,0,0,32,652,0,none,connect_scan
6379,open,tcp,125.62,243,Unknown,+OK,0,0,620,12,971,1,cisco_acl,https_source_port
8080,filtered,tcp,59.61,49,Linux 5.x,,1,0,361,3,481,1,cloudflare,stealth_syn
8443,open,tcp,24.44,58,Windows Server 2019,nginx/1.18.0,0,0,0,18,373,0,none,connect_scan
143,filtered,tcp,103.79,238,Cisco IOS,,0,0,507,8,679,1,cisco_acl,http_source_port
514,filtered,tcp,12.65,49,Unknown,,1,0,519,10,683,1,pf_bsd,null_scan
22,open,tcp,19.26,64,Linux 3.x,SSH-2.0-OpenSSH_9.0,0,0,0,34,686,0,none,connect_scan
110,filtered,tcp,57.28,46,Unknown,,1,0,133,1,156,1,aws_waf,decoy_scan
143,filtered,tcp,112.1,247,Cisco IOS,,1,0,175,3,287,1,cisco_acl,https_source_port
27017,filtered,tcp,30.5,42,Windows 10,,1,0,174,0,189,1,ids_ips,slow_scan
22,filtered,tcp,10.68,58,Windows Server 2019,,0,0,403,2,411,1,ids_ips,slow_scan
1433,filtered,tcp,62.67,43,Linux 5.x,,1,0,315,2,358,1,cloudflare,stealth_syn
1521,open,tcp,54.54,53,Cisco IOS,Oracle TNS Listener,0,0,0,15,312,0,none,connect_scan
8443,open,tcp,35.4,62,Linux 4.x/5.x,nginx/1.18.0,0,0,0,26,522,0,none,connect_scan
69,open,tcp,154.46,43,FreeBSD 13,,0,0,340,7,471,1,pf_bsd,null_scan
3306,filtered,tcp,163.63,245,Unknown,,1,0,435,8,704,1,cisco_acl,http_source_port
6379,open,tcp,152.87,55,Unknown,+OK,1,0,868,7,951,1,cloudflare,fragment
8443,filtered,tcp,42.83,45,Linux 5.x,,1,0,226,2,293,1,cloudflare,stealth_syn
