server_header,status_code,has_waf_cookie,content_length,waf_detected,predicted_framework
Sucuri/Cloudproxy,500,1,37254,Sucuri,Unknown
Incapsula,403,1,16928,Imperva,Vue
Microsoft-IIS/10.0,404,1,34342,None,React
Incapsula,200,1,34960,Imperva,Spring_Boot
cloudflare-nginx,403,1,266,Cloudflare,ASP.NET
cloudflare,302,1,16597,Cloudflare,Express
AWS,403,1,5398,AWS_WAF,WordPress
cloudflare-nginx,403,1,40346,Cloudflare,Laravel
nginx/1.18.0,403,1,4649,ModSecurity,Vue
Sucuri/Cloudproxy,301,1,40279,Sucuri,Django
Apache/2.4.41,301,0,46376,None,ASP.NET
Incapsula,302,1,20499,Imperva,React
Sucuri/Cloudproxy,403,1,11205,Sucuri,ASP.NET
BigIP,301,1,8609,F5_BIG_IP,ASP.NET
AWS,200,1,41901,AWS_WAF,Unknown
LiteSpeed,301,0,49829,None,Vue
CloudFront,404,1,11027,AWS_WAF,Unknown
BigIP,301,1,47992,F5_BIG_IP,Node.js
AmazonS3,302,1,18464,AWS_WAF,Laravel
Sucuri/Cloudproxy,500,1,24742,Sucuri,Unknown
Apache/2.4.41 (Ubuntu),301,1,8392,ModSecurity,Laravel
BIG-IP,403,1,30745,F5_BIG_IP,Express
LiteSpeed,302,1,48319,None,Node.js
BigIP,500,1,23462,F5_BIG_IP,React
cloudflare-nginx,302,1,30782,Cloudflare,Unknown
BIG-IP,403,1,48378,F5_BIG_IP,Laravel
AmazonS3,403,1,32265,AWS_WAF,WordPress
BIG-IP,403,1,7325,F5_BIG_IP,Node.js
LiteSpeed,404,0,14399,None,Unknown
BIG-IP,403,1,45952,F5_BIG_IP,Vue
CloudFront,404,1,685,AWS_WAF,Vue
BIG-IP,403,1,22635,F5_BIG_IP,Laravel
cloudflare-nginx,301,1,38821,Cloudflare,Unknown
AWS,302,1,10080,AWS_WAF,Express
cloudflare,403,1,42749,Cloudflare,Node.js
cloudflare-nginx,200,1,25530,Cloudflare,Laravel
Incapsula,301,1,45530,Imperva,Unknown
Apache/2.4.41,301,0,21685,None,Vue
Incapsula,403,1,32135,Imperva,Laravel
nginx/1.18.0,500,1,28730,None,Laravel
Sucuri/Cloudproxy,404,1,10709,Sucuri,Unknown
BIG-IP,403,1,36735,F5_BIG_IP,Node.js
Apache/2.4.41 (Ubuntu),403,1,41299,ModSecurity,Spring_Boot
CloudFront,403,1,634,AWS_WAF,WordPress
Apache/2.4.41 (Ubuntu),404,1,1461,ModSecurity,React
CloudFront,403,1,20637,AWS_WAF,React
cloudflare-nginx,403,1,49481,Cloudflare,Node.js
Sucuri/Cloudproxy,200,1,10648,Sucuri,Express
AmazonS3,403,1,2108,AWS_WAF,Express
Incapsula,403,1,31867,Imperva,Node.js
Apache/2.4.41,302,1,1648,None,Vue
cloudflare-nginx,500,1,27365,Cloudflare,React
BIG-IP,301,1,5337,F5_BIG_IP,Vue
cloudflare,404,1,24614,Cloudflare,Django
BIG-IP,301,1,14885,F5_BIG_IP,Django
Sucuri/Cloudproxy,301,1,30533,Sucuri,WordPress
cloudflare-nginx,301,1,241,Cloudflare,Spring_Boot
nginx/1.18.0,200,0,40535,None,Spring_Boot
CloudFront,500,1,33124,AWS_WAF,Laravel
Sucuri/Cloudproxy,200,1,5808,Sucuri,Unknown
cloudflare,200,1,32554,Cloudflare,Vue
nginx/1.18.0,301,0,2808,None,WordPress
Sucuri/Cloudproxy,403,1,30841,Sucuri,Express
Apache/2.4.41 (Ubuntu),500,1,49025,ModSecurity,React
cloudflare,200,1,26690,Cloudflare,Spring_Boot
Incapsula,403,1,25145,Imperva,Laravel
cloudflare-nginx,301,1,20191,Cloudflare,Laravel
CloudFront,404,1,29132,AWS_WAF,ASP.NET
Incapsula,500,1,12659,Imperva,Unknown
Apache/2.4.41 (Ubuntu),302,1,25360,ModSecurity,WordPress
AmazonS3,302,1,32231,AWS_WAF,Unknown
Apache/2.4.41,302,1,31156,None,React
Incapsula,403,1,24313,Imperva,Node.js
Incapsula,500,1,33414,Imperva,WordPress
Incapsula,500,1,17182,Imperva,Laravel
Incapsula,403,1,20387,Imperva,WordPress
Sucuri/Cloudproxy,500,1,37578,Sucuri,ASP.NET
cloudflare,302,1,27759,Cloudflare,Unknown
cloudflare-nginx,404,1,28856,Cloudflare,ASP.NET
BigIP,404,1,7074,F5_BIG_IP,Unknown
Sucuri/Cloudproxy,403,1,44859,Sucuri,Laravel
BigIP,403,1,26832,F5_BIG_IP,React
Incapsula,200,1,7147,Imperva,Django
Microsoft-IIS/10.0,404,1,14439,None,Node.js
cloudflare-nginx,403,1,20115,Cloudflare,Spring_Boot
LiteSpeed,200,1,4029,None,React
LiteSpeed,404,1,266,None,Vue
Incapsula,301,1,1687,Imperva,Node.js
BigIP,403,1,30869,F5_BIG_IP,Unknown
AmazonS3,403,1,41411,AWS_WAF,Spring_Boot
BIG-IP,404,1,19629,F5_BIG_IP,Express
Apache/2.4.41 (Ubuntu),403,1,48279,ModSecurity,Vue
Sucuri/Cloudproxy,404,1,3217,Sucuri,Vue
LiteSpeed,200,0,8958,None,Node.js
Apache/2.4.41 (Ubuntu),500,1,8765,ModSecurity,Unknown
Apache/2.4.41 (Ubuntu),404,1,35649,ModSecurity,Django
nginx/1.18.0,301,1,45251,None,WordPress
Apache/2.4.41 (Ubuntu),403,1,48860,ModSecurity,Spring_Boot
nginx/1.18.0,200,1,47378,ModSecurity,Express
cloudflare,301,1,46134,Cloudflare,Django
Incapsula,403,1,14539,Imperva,Vue
BIG-IP,403,1,9423,F5_BIG_IP,WordPress
Sucuri/Cloudproxy,403,1,6404,Sucuri,Django
nginx/1.18.0,403,1,42770,ModSecurity,React
CloudFront,200,1,21462,AWS_WAF,ASP.NET
cloudflare-nginx,403,1,28477,Cloudflare,Node.js
Apache/2.4.41 (Ubuntu),500,1,14173,ModSecurity,Node.js
Sucuri/Cloudproxy,403,1,31486,Sucuri,Node.js
BigIP,403,1,45208,F5_BIG_IP,Django
BIG-IP,302,1,38219,F5_BIG_IP,Unknown
Sucuri/Cloudproxy,301,1,39014,Sucuri,Django
Sucuri/Cloudproxy,403,1,38377,Sucuri,ASP.NET
Microsoft-IIS/10.0,404,0,17992,None,Express
Sucuri/Cloudproxy,301,1,8093,Sucuri,Node.js
Sucuri/Cloudproxy,500,1,27953,Sucuri,React
AmazonS3,302,1,37566,AWS_WAF,Node.js
Apache/2.4.41 (Ubuntu),500,1,45466,ModSecurity,Vue
BIG-IP,500,1,37224,F5_BIG_IP,Django
Sucuri/Cloudproxy,403,1,20635,Sucuri,Spring_Boot
cloudflare-nginx,500,1,6748,Cloudflare,React
AWS,403,1,41508,AWS_WAF,Unknown
Sucuri/Cloudproxy,302,1,22277,Sucuri,ASP.NET
nginx/1.18.0,403,1,36856,ModSecurity,Vue
cloudflare,404,1,3515,Cloudflare,Unknown
Sucuri/Cloudproxy,302,1,26365,Sucuri,WordPress
nginx/1.18.0,403,1,4857,ModSecurity,Vue
Apache/2.4.41 (Ubuntu),301,1,40159,ModSecurity,Node.js
nginx/1.18.0,500,1,20337,ModSecurity,Laravel
BigIP,500,1,38823,F5_BIG_IP,Vue
Sucuri/Cloudproxy,500,1,15810,Sucuri,Spring_Boot
AWS,500,1,40550,AWS_WAF,WordPress
BigIP,404,1,24282,F5_BIG_IP,Django
Incapsula,403,1,6084,Imperva,WordPress
BigIP,301,1,39391,F5_BIG_IP,ASP.NET
BIG-IP,302,1,8276,F5_BIG_IP,Django
nginx/1.18.0,404,1,6724,ModSecurity,Laravel
Apache/2.4.41 (Ubuntu),404,1,35609,ModSecurity,Node.js
nginx/1.18.0,403,1,29836,ModSecurity,Vue
cloudflare-nginx,302,1,13375,Cloudflare,Express
nginx/1.18.0,403,1,47871,ModSecurity,Laravel
nginx/1.18.0,302,0,28250,None,Express
BIG-IP,302,1,46648,F5_BIG_IP,Laravel
Apache/2.4.41 (Ubuntu),403,1,14856,ModSecurity,Express
BigIP,404,1,16278,F5_BIG_IP,WordPress
Incapsula,500,1,41220,Imperva,Django
BIG-IP,403,1,2273,F5_BIG_IP,Unknown
Incapsula,302,1,32245,Imperva,Unknown
cloudflare,302,1,47838,Cloudflare,Laravel
cloudflare,404,1,2511,Cloudflare,Django
nginx/1.18.0,404,1,26332,ModSecurity,WordPress
cloudflare,403,1,11629,Cloudflare,Express
cloudflare-nginx,403,1,8711,Cloudflare,React
Incapsula,302,1,48377,Imperva,Laravel
BigIP,302,1,48001,F5_BIG_IP,Laravel
AmazonS3,403,1,48998,AWS_WAF,Django
cloudflare,403,1,6567,Cloudflare,ASP.NET
Sucuri/Cloudproxy,500,1,42976,Sucuri,Spring_Boot
Incapsula,403,1,34948,Imperva,WordPress
BIG-IP,403,1,17115,F5_BIG_IP,Laravel
Sucuri/Cloudproxy,404,1,45161,Sucuri,Unknown
CloudFront,500,1,35282,AWS_WAF,Node.js
nginx/1.18.0,302,1,15618,None,ASP.NET
Incapsula,403,1,601,Imperva,Spring_Boot
Apache/2.4.41 (Ubuntu),302,1,36148,ModSecurity,Spring_Boot
cloudflare-nginx,200,1,39998,Cloudflare,Express
cloudflare,404,1,27506,Cloudflare,Spring_Boot
cloudflare,301,1,13989,Cloudflare,Unknown
cloudflare,403,1,23530,Cloudflare,Node.js
cloudflare,301,1,49873,Cloudflare,Express
CloudFront,200,1,3967,AWS_WAF,Spring_Boot
cloudflare,404,1,13329,Cloudflare,Laravel
Incapsula,301,1,2125,Imperva,Node.js
Incapsula,302,1,49842,Imperva,Express
LiteSpeed,200,0,31924,None,ASP.NET
Sucuri/Cloudproxy,500,1,23469,Sucuri,React
Incapsula,403,1,9494,Imperva,Unknown
Apache/2.4.41 (Ubuntu),200,1,39720,ModSecurity,ASP.NET
cloudflare-nginx,301,1,1959,Cloudflare,Laravel
Microsoft-IIS/10.0,500,0,25800,None,Unknown
cloudflare,302,1,22544,Cloudflare,ASP.NET
CloudFront,500,1,41566,AWS_WAF,Vue
Incapsula,404,1,10094,Imperva,Spring_Boot
AWS,302,1,33912,AWS_WAF,Unknown
Incapsula,302,1,1380,Imperva,Laravel
nginx/1.18.0,403,1,49936,ModSecurity,Spring_Boot
Apache/2.4.41,301,0,36565,None,Express
cloudflare-nginx,404,1,38570,Cloudflare,Django
AmazonS3,403,1,25566,AWS_WAF,Laravel
Sucuri/Cloudproxy,403,1,45845,Sucuri,Laravel
cloudflare,302,1,27658,Cloudflare,Vue
nginx/1.18.0,403,1,33211,ModSecurity,Unknown
Incapsula,403,1,2729,Imperva,Node.js
BigIP,200,1,26661,F5_BIG_IP,Django
BIG-IP,500,1,20168,F5_BIG_IP,React
Apache/2.4.41,301,1,623,None,Unknown
cloudflare-nginx,404,1,5983,Cloudflare,Express
Incapsula,404,1,37393,Imperva,Laravel
Apache/2.4.41 (Ubuntu),403,1,41966,ModSecurity,Vue
cloudflare-nginx,403,1,46863,Cloudflare,ASP.NET
Incapsula,403,1,30662,Imperva,Laravel
cloudflare,403,1,29691,Cloudflare,Spring_Boot
nginx/1.18.0,403,1,10395,ModSecurity,Laravel
BigIP,200,1,38619,F5_BIG_IP,React
Sucuri/Cloudproxy,301,1,20471,Sucuri,WordPress
cloudflare,200,1,35349,Cloudflare,Express
LiteSpeed,200,0,28110,None,WordPress
cloudflare-nginx,302,1,42559,Cloudflare,Node.js
BIG-IP,500,1,4781,F5_BIG_IP,Laravel
Sucuri/Cloudproxy,302,1,38871,Sucuri,Django
Sucuri/Cloudproxy,302,1,18407,Sucuri,Spring_Boot
Sucuri/Cloudproxy,403,1,10730,Sucuri,Django
LiteSpeed,200,0,19824,None,Laravel
BigIP,301,1,44724,F5_BIG_IP,WordPress
Sucuri/Cloudproxy,301,1,24768,Sucuri,WordPress
Incapsula,404,1,35331,Imperva,Node.js
Incapsula,403,1,15703,Imperva,WordPress
Sucuri/Cloudproxy,200,1,242,Sucuri,ASP.NET
Sucuri/Cloudproxy,301,1,10851,Sucuri,Unknown
BigIP,302,1,21745,F5_BIG_IP,Node.js
Sucuri/Cloudproxy,200,1,25736,Sucuri,Node.js
BigIP,302,1,216,F5_BIG_IP,ASP.NET
Incapsula,403,1,47072,Imperva,WordPress
Apache/2.4.41 (Ubuntu),403,1,49348,ModSecurity,Express
cloudflare,404,1,34638,Cloudflare,Laravel
cloudflare,500,1,10685,Cloudflare,Django
BIG-IP,200,1,47842,F5_BIG_IP,Unknown
Apache/2.4.41,301,1,155,None,Vue
cloudflare,403,1,40646,Cloudflare,Django
nginx/1.18.0,302,1,49575,ModSecurity,Spring_Boot
nginx/1.18.0,302,0,36027,None,WordPress
nginx/1.18.0,302,1,5912,None,Express
Apache/2.4.41 (Ubuntu),200,1,32686,ModSecurity,Laravel
LiteSpeed,404,0,20380,None,Vue
Incapsula,500,1,26468,Imperva,ASP.NET
cloudflare-nginx,500,1,44852,Cloudflare,React
BIG-IP,200,1,19096,F5_BIG_IP,React
BigIP,500,1,40361,F5_BIG_IP,React
Apache/2.4.41,500,0,28201,None,ASP.NET
Apache/2.4.41 (Ubuntu),403,1,8039,ModSecurity,WordPress
AWS,200,1,42904,AWS_WAF,ASP.NET
cloudflare-nginx,403,1,28863,Cloudflare,Django
Sucuri/Cloudproxy,403,1,36471,Sucuri,React
Incapsula,500,1,6118,Imperva,Vue
BIG-IP,404,1,661,F5_BIG_IP,Unknown
BigIP,403,1,46496,F5_BIG_IP,Spring_Boot
Sucuri/Cloudproxy,403,1,1800,Sucuri,React
BIG-IP,301,1,25225,F5_BIG_IP,Django
Sucuri/Cloudproxy,302,1,9544,Sucuri,Spring_Boot
BIG-IP,403,1,23362,F5_BIG_IP,Node.js
CloudFront,301,1,21042,AWS_WAF,Node.js
nginx/1.18.0,500,1,18703,ModSecurity,Vue
Apache/2.4.41,301,0,21460,None,Unknown
Sucuri/Cloudproxy,200,1,22172,Sucuri,Vue
BIG-IP,403,1,35460,F5_BIG_IP,Express
Incapsula,403,1,45206,Imperva,WordPress
LiteSpeed,200,0,5707,None,React
BIG-IP,403,1,4892,F5_BIG_IP,Vue
nginx/1.18.0,404,1,1571,ModSecurity,ASP.NET
AWS,302,1,3821,AWS_WAF,React
Sucuri/Cloudproxy,403,1,4871,Sucuri,React
Microsoft-IIS/10.0,302,0,36771,None,Unknown
Incapsula,200,1,39069,Imperva,WordPress
BigIP,403,1,12677,F5_BIG_IP,Express
Incapsula,403,1,5546,Imperva,React
Sucuri/Cloudproxy,301,1,20054,Sucuri,ASP.NET
nginx/1.18.0,200,0,33865,None,ASP.NET
Incapsula,404,1,21423,Imperva,Express
cloudflare,302,1,25800,Cloudflare,Node.js
nginx/1.18.0,403,1,6507,ModSecurity,Laravel
cloudflare-nginx,404,1,11835,Cloudflare,Laravel
AmazonS3,404,1,20946,AWS_WAF,WordPress
cloudflare-nginx,403,1,37202,Cloudflare,Unknown
LiteSpeed,404,0,25318,None,Vue
Microsoft-IIS/10.0,200,0,30298,None,Spring_Boot
nginx/1.18.0,200,1,49765,ModSecurity,Laravel
BigIP,403,1,49226,F5_BIG_IP,Unknown
BigIP,403,1,27184,F5_BIG_IP,Vue
BigIP,302,1,19954,F5_BIG_IP,React
CloudFront,403,1,39819,AWS_WAF,Unknown
Incapsula,403,1,31625,Imperva,ASP.NET
nginx/1.18.0,200,1,37993,ModSecurity,ASP.NET
Incapsula,301,1,35226,Imperva,ASP.NET
Sucuri/Cloudproxy,200,1,10795,Sucuri,React
nginx/1.18.0,403,1,28830,ModSecurity,WordPress
CloudFront,403,1,27847,AWS_WAF,React
Sucuri/Cloudproxy,403,1,35899,Sucuri,Unknown
BigIP,200,1,36130,F5_BIG_IP,Unknown
Apache/2.4.41,200,0,22220,None,Node.js
LiteSpeed,404,0,36599,None,WordPress
nginx/1.18.0,301,0,24954,None,Laravel
nginx/1.18.0,200,0,38217,None,Django
BigIP,500,1,35677,F5_BIG_IP,Express
Apache/2.4.41 (Ubuntu),404,1,48138,ModSecurity,Unknown
Microsoft-IIS/10.0,500,1,13422,None,Vue
AWS,302,1,40057,AWS_WAF,WordPress
Incapsula,302,1,30291,Imperva,Laravel
CloudFront,403,1,44203,AWS_WAF,Vue
cloudflare-nginx,301,1,42566,Cloudflare,WordPress
nginx/1.18.0,500,1,3497,ModSecurity,Unknown
AWS,301,1,48378,AWS_WAF,Unknown
Sucuri/Cloudproxy,200,1,28796,Sucuri,Django
Incapsula,404,1,46928,Imperva,Node.js
nginx/1.18.0,500,1,5453,None,Express
AWS,302,1,44229,AWS_WAF,Node.js
Sucuri/Cloudproxy,301,1,3709,Sucuri,Vue
BIG-IP,403,1,4296,F5_BIG_IP,Django
Apache/2.4.41 (Ubuntu),200,1,43235,ModSecurity,Unknown
Incapsula,200,1,27662,Imperva,Express
BigIP,403,1,49123,F5_BIG_IP,React
Incapsula,302,1,43491,Imperva,Express
BIG-IP,403,1,39573,F5_BIG_IP,Django
cloudflare,302,1,39283,Cloudflare,Vue
BigIP,302,1,33940,F5_BIG_IP,WordPress
AWS,302,1,49372,AWS_WAF,Spring_Boot
BigIP,403,1,19208,F5_BIG_IP,Spring_Boot
cloudflare,301,1,34227,Cloudflare,Laravel
Incapsula,403,1,4798,Imperva,Unknown
CloudFront,500,1,21994,AWS_WAF,Unknown
AmazonS3,403,1,5759,AWS_WAF,ASP.NET
BigIP,500,1,48292,F5_BIG_IP,Spring_Boot
Sucuri/Cloudproxy,404,1,32250,Sucuri,Unknown
cloudflare,403,1,25423,Cloudflare,Spring_Boot
Apache/2.4.41,302,1,2598,None,Express
cloudflare-nginx,500,1,26106,Cloudflare,WordPress
cloudflare,403,1,10060,Cloudflare,Node.js
cloudflare-nginx,403,1,7168,Cloudflare,WordPress
CloudFront,500,1,5494,AWS_WAF,Laravel
Apache/2.4.41,302,1,9516,None,ASP.NET
AWS,500,1,40048,AWS_WAF,Spring_Boot
BIG-IP,404,1,27808,F5_BIG_IP,ASP.NET
Sucuri/Cloudproxy,500,1,41821,Sucuri,ASP.NET
Sucuri/Cloudproxy,500,1,21965,Sucuri,Django
Sucuri/Cloudproxy,403,1,19478,Sucuri,WordPress
LiteSpeed,302,0,5755,None,WordPress
Incapsula,403,1,45285,Imperva,Node.js
cloudflare-nginx,500,1,43071,Cloudflare,Vue
AmazonS3,200,1,26246,AWS_WAF,React
Microsoft-IIS/10.0,302,0,43395,None,WordPress
cloudflare,404,1,18272,Cloudflare,WordPress
Sucuri/Cloudproxy,403,1,16761,Sucuri,React
Apache/2.4.41,301,0,38221,None,React
Microsoft-IIS/10.0,302,0,5938,None,Spring_Boot
CloudFront,500,1,24915,AWS_WAF,Node.js
CloudFront,404,1,32128,AWS_WAF,React
nginx/1.18.0,500,1,33879,ModSecurity,Express
Sucuri/Cloudproxy,403,1,21370,Sucuri,Unknown
BIG-IP,404,1,18657,F5_BIG_IP,Node.js
Microsoft-IIS/10.0,404,1,41672,None,Laravel
Incapsula,403,1,29758,Imperva,WordPress
Incapsula,302,1,33056,Imperva,Django
cloudflare,500,1,3059,Cloudflare,Vue
LiteSpeed,500,0,36500,None,Spring_Boot
CloudFront,403,1,4870,AWS_WAF,Django
cloudflare-nginx,403,1,42447,Cloudflare,Express
nginx/1.18.0,301,1,12280,ModSecurity,Laravel
CloudFront,403,1,21988,AWS_WAF,Django
BIG-IP,403,1,6070,F5_BIG_IP,ASP.NET
Incapsula,500,1,35755,Imperva,Django
nginx/1.18.0,500,1,8004,ModSecurity,Django
cloudflare-nginx,403,1,46908,Cloudflare,Laravel
BigIP,403,1,336,F5_BIG_IP,Express
Sucuri/Cloudproxy,200,1,23991,Sucuri,WordPress
BIG-IP,301,1,7432,F5_BIG_IP,React
cloudflare-nginx,302,1,30696,Cloudflare,React
cloudflare,200,1,5595,Cloudflare,Vue
Incapsula,404,1,17867,Imperva,Unknown
Apache/2.4.41 (Ubuntu),403,1,20622,ModSecurity,Django
nginx/1.18.0,403,1,41224,ModSecurity,Django
LiteSpeed,301,1,15269,None,Django
cloudflare-nginx,403,1,3791,Cloudflare,Django
Incapsula,403,1,34015,Imperva,ASP.NET
BigIP,403,1,48565,F5_BIG_IP,Django
nginx/1.18.0,404,0,17830,None,Vue
Sucuri/Cloudproxy,403,1,45755,Sucuri,Node.js
nginx/1.18.0,500,1,31109,ModSecurity,Vue
AmazonS3,302,1,21492,AWS_WAF,Spring_Boot
Apache/2.4.41 (Ubuntu),301,1,33347,ModSecurity,Unknown
Apache/2.4.41 (Ubuntu),404,1,10071,ModSecurity,Express
BigIP,403,1,29383,F5_BIG_IP,React
nginx/1.18.0,403,1,42944,ModSecurity,Laravel
Apache/2.4.41 (Ubuntu),200,1,12572,ModSecurity,Spring_Boot
BigIP,301,1,42593,F5_BIG_IP,Django
BIG-IP,403,1,47389,F5_BIG_IP,Spring_Boot
Apache/2.4.41,404,0,36221,None,Express
BIG-IP,403,1,16440,F5_BIG_IP,ASP.NET
Incapsula,301,1,18524,Imperva,Spring_Boot
cloudflare-nginx,301,1,20015,Cloudflare,Django
Incapsula,200,1,16203,Imperva,ASP.NET
AWS,200,1,13711,AWS_WAF,Django
Apache/2.4.41 (Ubuntu),500,1,6861,ModSecurity,Django
Apache/2.4.41 (Ubuntu),302,1,46794,ModSecurity,Unknown
BIG-IP,302,1,23212,F5_BIG_IP,Django
Sucuri/Cloudproxy,301,1,40422,Sucuri,Django
AmazonS3,403,1,1564,AWS_WAF,WordPress
CloudFront,403,1,32118,AWS_WAF,Express
nginx/1.18.0,403,1,42594,ModSecurity,Express
AmazonS3,500,1,10385,AWS_WAF,Vue
cloudflare,403,1,11282,Cloudflare,Django
Incapsula,301,1,46654,Imperva,Unknown
BIG-IP,403,1,3514,F5_BIG_IP,Vue
Apache/2.4.41 (Ubuntu),403,1,1796,ModSecurity,React
BIG-IP,403,1,38106,F5_BIG_IP,ASP.NET
nginx/1.18.0,403,1,26494,ModSecurity,React
