framework,waf_type,recommended_tool,recommended_wordlist,recommended_extensions,recommended_threads,recommended_delay_ms
Django,None,feroxbuster,api-endpoints.txt,.json,27,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,15,611
Spring_Boot,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.php,41,0
ASP.NET,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,40,0
Django,Imperva,ffuf,api-endpoints.txt,.json,6,557
Vue,Cloudflare,ffuf,common.txt,.html,12,788
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,11,946
Vue,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",8,941
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,40,0
Laravel,Imperva,ffuf,api-endpoints.txt,.json,11,868
Node.js,Sucuri,gobuster,api-endpoints.txt,.json,29,0
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,50,0
ASP.NET,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",6,622
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,15,484
Django,ModSecurity,gobuster,api-endpoints.txt,.json,31,0
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,13,731
Express,ModSecurity,gobuster,common.txt,".bak,.old,.swp",48,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,14,398
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,50,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,47,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,41,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.html,8,266
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,10,702
Express,AWS_WAF,ffuf,common.txt,.php,12,956
Node.js,Sucuri,gobuster,api-endpoints.txt,.json,30,0
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,none,25,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.html,9,882
ASP.NET,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,22,0
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,5,547
Express,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.php,44,0
Laravel,Imperva,ffuf,api-endpoints.txt,.json,13,835
Unknown,Cloudflare,ffuf,common.txt,".bak,.old,.swp",6,755
WordPress,ModSecurity,gobuster,cms-wordpress.txt,.php,31,0
React,None,feroxbuster,directory-list-2.3-medium.txt,.php,39,0
Express,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,43,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,5,705
Laravel,Imperva,ffuf,api-endpoints.txt,.json,15,850
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,7,211
React,ModSecurity,gobuster,directory-list-2.3-medium.txt,none,33,0
Vue,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,12,902
Express,ModSecurity,gobuster,common.txt,none,39,0
Express,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,5,581
Unknown,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,none,36,0
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,13,216
WordPress,None,feroxbuster,cms-wordpress.txt,.php,34,0
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,9,953
Unknown,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,23,0
React,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,40,0
Django,Cloudflare,ffuf,api-endpoints.txt,.json,6,999
Vue,Imperva,ffuf,common.txt,none,7,384
Laravel,F5_BIG_IP,gobuster,api-endpoints.txt,.json,50,0
Spring_Boot,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,14,957
WordPress,None,gobuster,cms-wordpress.txt,.php,26,0
ASP.NET,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,44,0
Unknown,Sucuri,gobuster,directory-list-2.3-medium.txt,.html,30,0
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.php,13,902
Django,None,gobuster,api-endpoints.txt,.json,23,0
Unknown,Sucuri,feroxbuster,common.txt,none,21,0
Express,Imperva,ffuf,common.txt,none,7,256
Laravel,Cloudflare,ffuf,api-endpoints.txt,.json,11,717
React,None,feroxbuster,directory-list-2.3-medium.txt,none,39,0
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,23,0
React,Cloudflare,ffuf,common.txt,.html,7,821
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,15,857
Django,Imperva,ffuf,api-endpoints.txt,.json,15,732
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,9,840
WordPress,None,feroxbuster,cms-wordpress.txt,.php,24,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.html,9,454
Vue,None,feroxbuster,directory-list-2.3-medium.txt,none,47,0
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,47,0
Spring_Boot,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",11,327
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,25,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,7,444
Vue,AWS_WAF,ffuf,common.txt,.php,7,656
React,Sucuri,gobuster,common.txt,.html,45,0
React,AWS_WAF,ffuf,common.txt,.html,8,350
ASP.NET,Imperva,ffuf,directory-list-2.3-medium.txt,.php,15,953
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,7,777
Unknown,AWS_WAF,ffuf,directory-list-2.3-medium.txt,.html,5,759
WordPress,None,gobuster,cms-wordpress.txt,.php,20,0
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,13,429
Vue,Cloudflare,ffuf,common.txt,.html,5,225
Django,Imperva,ffuf,api-endpoints.txt,.json,5,317
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.php,33,0
Unknown,ModSecurity,feroxbuster,common.txt,.php,34,0
React,F5_BIG_IP,gobuster,common.txt,.html,24,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,.php,27,0
Node.js,Sucuri,feroxbuster,api-endpoints.txt,.json,48,0
ASP.NET,ModSecurity,gobuster,directory-list-2.3-medium.txt,.html,21,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,.php,27,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,44,0
Laravel,AWS_WAF,ffuf,api-endpoints.txt,.json,10,904
Django,F5_BIG_IP,gobuster,api-endpoints.txt,.json,25,0
React,Cloudflare,ffuf,common.txt,.html,8,589
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,15,357
Spring_Boot,ModSecurity,gobuster,common.txt,none,34,0
Unknown,Cloudflare,ffuf,directory-list-2.3-medium.txt,none,5,344
Express,F5_BIG_IP,gobuster,directory-list-2.3-medium.txt,.html,22,0
Django,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,24,0
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,20,0
WordPress,Sucuri,gobuster,cms-wordpress.txt,.php,43,0
React,None,feroxbuster,directory-list-2.3-medium.txt,.php,36,0
React,None,gobuster,directory-list-2.3-medium.txt,.html,43,0
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,38,0
Vue,ModSecurity,gobuster,common.txt,.php,28,0
Django,Cloudflare,ffuf,api-endpoints.txt,.json,10,791
Django,Cloudflare,ffuf,api-endpoints.txt,.json,5,698
Laravel,Sucuri,gobuster,api-endpoints.txt,.json,29,0
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.html,35,0
Vue,Imperva,ffuf,common.txt,.php,8,433
ASP.NET,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.html,32,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,11,862
Node.js,None,gobuster,api-endpoints.txt,.json,44,0
Unknown,ModSecurity,feroxbuster,common.txt,".bak,.old,.swp",38,0
Django,None,feroxbuster,api-endpoints.txt,.json,29,0
Unknown,None,feroxbuster,common.txt,.html,48,0
Express,F5_BIG_IP,gobuster,common.txt,.php,44,0
Express,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,26,0
Node.js,Imperva,ffuf,api-endpoints.txt,.json,9,342
Vue,ModSecurity,gobuster,common.txt,none,26,0
Node.js,AWS_WAF,ffuf,api-endpoints.txt,.json,8,355
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,22,0
Spring_Boot,F5_BIG_IP,feroxbuster,common.txt,.php,34,0
Vue,Imperva,ffuf,common.txt,.php,11,592
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,42,0
Laravel,None,gobuster,api-endpoints.txt,.json,46,0
Node.js,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,46,0
ASP.NET,Cloudflare,ffuf,common.txt,.html,7,553
WordPress,F5_BIG_IP,gobuster,cms-wordpress.txt,.php,22,0
Node.js,F5_BIG_IP,gobuster,api-endpoints.txt,.json,23,0
Unknown,Sucuri,feroxbuster,common.txt,".bak,.old,.swp",47,0
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,34,0
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",9,946
Node.js,F5_BIG_IP,feroxbuster,api-endpoints.txt,.json,40,0
Laravel,ModSecurity,feroxbuster,api-endpoints.txt,.json,39,0
Spring_Boot,Cloudflare,ffuf,common.txt,.html,6,268
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,.php,9,410
Node.js,ModSecurity,feroxbuster,api-endpoints.txt,.json,39,0
Laravel,ModSecurity,gobuster,api-endpoints.txt,.json,35,0
Unknown,Cloudflare,ffuf,common.txt,none,12,483
Vue,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,none,20,0
Spring_Boot,Imperva,ffuf,common.txt,.html,5,650
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,8,390
Spring_Boot,Cloudflare,ffuf,directory-list-2.3-medium.txt,.html,8,884
Vue,None,gobuster,common.txt,none,26,0
Spring_Boot,None,feroxbuster,directory-list-2.3-medium.txt,.php,46,0
ASP.NET,F5_BIG_IP,gobuster,common.txt,none,29,0
WordPress,Cloudflare,ffuf,cms-wordpress.txt,.php,6,968
WordPress,F5_BIG_IP,feroxbuster,cms-wordpress.txt,.php,24,0
Express,F5_BIG_IP,feroxbuster,directory-list-2.3-medium.txt,.html,47,0
WordPress,AWS_WAF,ffuf,cms-wordpress.txt,.php,14,658
Spring_Boot,None,gobuster,common.txt,none,40,0
Unknown,Sucuri,gobuster,directory-list-2.3-medium.txt,none,48,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,15,440
ASP.NET,AWS_WAF,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",11,750
React,Sucuri,feroxbuster,common.txt,.php,49,0
Unknown,Imperva,ffuf,common.txt,.html,14,214
Vue,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,9,534
Unknown,AWS_WAF,ffuf,common.txt,none,15,640
React,Cloudflare,ffuf,common.txt,".bak,.old,.swp",6,220
Spring_Boot,Imperva,ffuf,directory-list-2.3-medium.txt,none,12,270
ASP.NET,AWS_WAF,ffuf,common.txt,.html,13,674
Unknown,Imperva,ffuf,directory-list-2.3-medium.txt,none,13,915
React,None,gobuster,common.txt,".bak,.old,.swp",27,0
React,AWS_WAF,ffuf,common.txt,".bak,.old,.swp",14,518
Node.js,Imperva,ffuf,api-endpoints.txt,.json,5,249
Express,Imperva,ffuf,directory-list-2.3-medium.txt,.html,15,847
Spring_Boot,ModSecurity,gobuster,directory-list-2.3-medium.txt,.php,27,0
ASP.NET,F5_BIG_IP,feroxbuster,common.txt,.html,36,0
Django,AWS_WAF,ffuf,api-endpoints.txt,.json,6,288
React,AWS_WAF,ffuf,directory-list-2.3-medium.txt,none,11,404
Express,None,feroxbuster,common.txt,.php,24,0
ASP.NET,Cloudflare,ffuf,directory-list-2.3-medium.txt,".bak,.old,.swp",15,409
Spring_Boot,Sucuri,feroxbuster,common.txt,.php,36,0
Laravel,None,feroxbuster,api-endpoints.txt,.json,48,0
Spring_Boot,F5_BIG_IP,gobuster,common.txt,.php,38,0
Laravel,Imperva,ffuf,api-endpoints.txt,.json,14,306
Node.js,ModSecurity,gobuster,api-endpoints.txt,.json,41,0
Unknown,Sucuri,feroxbuster,directory-list-2.3-medium.txt,.html,49,0
Spring_Boot,ModSecurity,feroxbuster,directory-list-2.3-medium.txt,.html,28,0
Unknown,F5_BIG_IP,feroxbuster,common.txt,.html,34,0
Express,AWS_WAF,ffuf,common.txt,.html,9,221
Django,Cloudflare,ffuf,api-endpoints.txt,.json,11,746
Django,ModSecurity,feroxbuster,api-endpoints.txt,.json,43,0
Node.js,None,feroxbuster,api-endpoints.txt,.json,23,0
Spring_Boot,Sucuri,gobuster,directory-list-2.3-medium.txt,.php,24,0
Vue,Imperva,ffuf,common.txt,none,11,205
Laravel,Imperva,ffuf,api-endpoints.txt,.json,15,432
React,Imperva,ffuf,common.txt,.php,12,509
